timestamp,container,cpu_perc,mem_usage,mem_perc,net_io
2026-06-14T11:47:22,project-two-ingestion,0.60%,47.82MiB / 14.99GiB,0.31%,4.19kB / 1.58kB
2026-06-14T11:47:22,project-two-storage,10.72%,26.83MiB / 14.99GiB,0.17%,2.77kB / 1.35kB
2026-06-14T11:47:22,project-two-analytics,0.00%,47.36MiB / 14.99GiB,0.31%,3.35kB / 1.25kB
2026-06-14T11:47:22,project-two-mosquitto,0.02%,6.52MiB / 14.99GiB,0.04%,279MB / 394MB
2026-06-14T11:47:29,project-two-ingestion,0.65%,40.48MiB / 14.99GiB,0.26%,4.71kB / 1.62kB
2026-06-14T11:47:29,project-two-storage,0.44%,26.14MiB / 14.99GiB,0.17%,4.1kB / 1.39kB
2026-06-14T11:47:29,project-two-analytics,0.00%,38.55MiB / 14.99GiB,0.25%,4.11kB / 1.33kB
2026-06-14T11:47:29,project-two-mosquitto,0.02%,6.52MiB / 14.99GiB,0.04%,279MB / 394MB
2026-06-14T11:47:36,project-two-ingestion,1.51%,40.84MiB / 14.99GiB,0.27%,4.98kB / 1.62kB
2026-06-14T11:47:36,project-two-storage,0.28%,27.05MiB / 14.99GiB,0.18%,4.44kB / 1.53kB
2026-06-14T11:47:36,project-two-analytics,0.00%,38.15MiB / 14.99GiB,0.25%,4.38kB / 1.33kB
2026-06-14T11:47:36,project-two-mosquitto,0.04%,6.77MiB / 14.99GiB,0.04%,279MB / 394MB
2026-06-14T11:47:43,project-two-ingestion,0.71%,41.14MiB / 14.99GiB,0.27%,4.98kB / 1.62kB
2026-06-14T11:47:43,project-two-storage,0.37%,26.56MiB / 14.99GiB,0.17%,4.44kB / 1.53kB
2026-06-14T11:47:43,project-two-analytics,0.00%,38.29MiB / 14.99GiB,0.25%,4.38kB / 1.33kB
2026-06-14T11:47:43,project-two-mosquitto,0.03%,6.52MiB / 14.99GiB,0.04%,279MB / 394MB
2026-06-14T11:47:50,project-two-ingestion,1.50%,41.18MiB / 14.99GiB,0.27%,5.05kB / 1.62kB
2026-06-14T11:47:50,project-two-storage,1.18%,27.7MiB / 14.99GiB,0.18%,4.58kB / 1.66kB
2026-06-14T11:47:50,project-two-analytics,0.00%,38.14MiB / 14.99GiB,0.25%,4.46kB / 1.33kB
2026-06-14T11:47:50,project-two-mosquitto,0.02%,2.664MiB / 14.99GiB,0.02%,279MB / 394MB
2026-06-14T11:47:57,project-two-ingestion,0.00%,40.24MiB / 14.99GiB,0.26%,5.25kB / 1.62kB
2026-06-14T11:47:57,project-two-storage,0.21%,26.1MiB / 14.99GiB,0.17%,4.78kB / 1.66kB
2026-06-14T11:47:57,project-two-analytics,0.00%,38.14MiB / 14.99GiB,0.25%,4.66kB / 1.33kB
2026-06-14T11:47:57,project-two-mosquitto,0.02%,2.664MiB / 14.99GiB,0.02%,279MB / 394MB
