timestamp,container,cpu_perc,mem_usage,mem_perc,net_io
2026-06-14T11:35:33,project-two-ingestion,6.70%,42.32MiB / 14.99GiB,0.28%,19.3kB / 54kB
2026-06-14T11:35:33,project-two-storage,31.06%,42.2MiB / 14.99GiB,0.27%,440kB / 37.5kB
2026-06-14T11:35:33,project-two-analytics,4.02%,41.47MiB / 14.99GiB,0.27%,6.58kB / 2.85kB
2026-06-14T11:35:33,project-two-kafka,34.78%,1.032GiB / 14.99GiB,6.88%,1.34GB / 2.35GB
2026-06-14T11:35:37,project-two-ingestion,4.09%,36.55MiB / 14.99GiB,0.24%,39kB / 133kB
2026-06-14T11:35:37,project-two-storage,0.83%,45.14MiB / 14.99GiB,0.29%,585kB / 194kB
2026-06-14T11:35:37,project-two-analytics,6.75%,34.02MiB / 14.99GiB,0.22%,159kB / 42.3kB
2026-06-14T11:35:37,project-two-kafka,2.84%,1.033GiB / 14.99GiB,6.89%,1.34GB / 2.35GB
2026-06-14T11:35:41,project-two-ingestion,3.94%,37.42MiB / 14.99GiB,0.24%,71.6kB / 264kB
2026-06-14T11:35:41,project-two-storage,1.89%,44.73MiB / 14.99GiB,0.29%,694kB / 297kB
2026-06-14T11:35:41,project-two-analytics,3.73%,34.65MiB / 14.99GiB,0.23%,284kB / 94.6kB
2026-06-14T11:35:41,project-two-kafka,3.20%,1.035GiB / 14.99GiB,6.91%,1.35GB / 2.35GB
2026-06-14T11:35:45,project-two-ingestion,2.85%,37.43MiB / 14.99GiB,0.24%,91.3kB / 343kB
2026-06-14T11:35:45,project-two-storage,2.14%,44.84MiB / 14.99GiB,0.29%,880kB / 475kB
2026-06-14T11:35:45,project-two-analytics,3.52%,35.75MiB / 14.99GiB,0.23%,419kB / 158kB
2026-06-14T11:35:45,project-two-kafka,3.15%,1.036GiB / 14.99GiB,6.91%,1.35GB / 2.35GB
2026-06-14T11:35:49,project-two-ingestion,27.73%,53.58MiB / 14.99GiB,0.35%,220kB / 861kB
2026-06-14T11:35:49,project-two-storage,31.86%,62.76MiB / 14.99GiB,0.41%,5.04MB / 3.26MB
2026-06-14T11:35:49,project-two-analytics,111.65%,44.1MiB / 14.99GiB,0.29%,3.43MB / 969kB
2026-06-14T11:35:49,project-two-kafka,217.87%,1.037GiB / 14.99GiB,6.92%,1.35GB / 2.36GB
2026-06-14T11:35:53,project-two-ingestion,44.14%,73.56MiB / 14.99GiB,0.48%,3.47MB / 13.9MB
2026-06-14T11:35:53,project-two-storage,19.55%,83.48MiB / 14.99GiB,0.54%,18.6MB / 12.5MB
