elapsed_s,phase,readings_total
0,baseline,0
2,baseline,1
4,baseline,150
6,baseline,251
8,baseline,350
10,baseline,450
12,baseline,600
14,baseline,700
15,burst,700
16,burst,3201
17,burst,6201
18,burst,9701
19,burst,12201
20,burst,15201
21,burst,17701
22,burst,21201
23,burst,24201
24,burst,26201
25,recovery,37701
27,recovery,42701
29,recovery,48201
31,recovery,49895
33,recovery,49895
35,recovery,49895
37,recovery,49895
39,recovery,49895
41,recovery,49895
43,recovery,49895
45,recovery,49895
47,recovery,49895
49,recovery,49895
51,recovery,49895
53,recovery,49895
