timestamp,container,cpu_perc,mem_usage,mem_perc,net_io
2026-06-14T11:30:15,project-two-ingestion,3.38%,33.96MiB / 14.99GiB,0.22%,8.16kB / 51.8kB
2026-06-14T11:30:15,project-two-storage,27.66%,42.53MiB / 14.99GiB,0.28%,436kB / 32kB
2026-06-14T11:30:15,project-two-analytics,5.93%,43.48MiB / 14.99GiB,0.28%,50.7kB / 9.51kB
2026-06-14T11:30:15,project-two-kafka,1.08%,1.009GiB / 14.99GiB,6.73%,1.25GB / 2.22GB
2026-06-14T11:30:19,project-two-ingestion,2.39%,34.78MiB / 14.99GiB,0.23%,19.2kB / 155kB
2026-06-14T11:30:19,project-two-storage,1.22%,44.32MiB / 14.99GiB,0.29%,578kB / 187kB
2026-06-14T11:30:19,project-two-analytics,3.16%,35.6MiB / 14.99GiB,0.23%,160kB / 43.9kB
2026-06-14T11:30:19,project-two-kafka,2.94%,1.01GiB / 14.99GiB,6.74%,1.25GB / 2.22GB
2026-06-14T11:30:23,project-two-ingestion,2.38%,34.05MiB / 14.99GiB,0.22%,28.9kB / 234kB
2026-06-14T11:30:23,project-two-storage,2.37%,44.88MiB / 14.99GiB,0.29%,718kB / 318kB
2026-06-14T11:30:23,project-two-analytics,3.14%,35.83MiB / 14.99GiB,0.23%,284kB / 95.9kB
2026-06-14T11:30:23,project-two-kafka,28.44%,1.01GiB / 14.99GiB,6.74%,1.25GB / 2.22GB
2026-06-14T11:30:27,project-two-ingestion,1.76%,34.12MiB / 14.99GiB,0.22%,45kB / 365kB
2026-06-14T11:30:27,project-two-storage,0.53%,44.53MiB / 14.99GiB,0.29%,825kB / 418kB
2026-06-14T11:30:27,project-two-analytics,2.91%,36.29MiB / 14.99GiB,0.24%,413kB / 152kB
2026-06-14T11:30:27,project-two-kafka,3.50%,1.011GiB / 14.99GiB,6.74%,1.25GB / 2.22GB
2026-06-14T11:30:31,project-two-ingestion,84.31%,39.31MiB / 14.99GiB,0.26%,416kB / 3.55MB
2026-06-14T11:30:31,project-two-storage,25.64%,63.58MiB / 14.99GiB,0.41%,5.13MB / 3.23MB
2026-06-14T11:30:31,project-two-analytics,16.81%,36.66MiB / 14.99GiB,0.24%,948kB / 257kB
2026-06-14T11:30:31,project-two-kafka,106.45%,1.012GiB / 14.99GiB,6.75%,1.26GB / 2.22GB
2026-06-14T11:30:35,project-two-ingestion,27.22%,42.15MiB / 14.99GiB,0.27%,1.44MB / 13.8MB
2026-06-14T11:30:35,project-two-storage,16.54%,91.76MiB / 14.99GiB,0.60%,18.2MB / 11.8MB
2026-06-14T11:30:35,project-two-analytics,52.48%,53.68MiB / 14.99GiB,0.35%,14.8MB / 4.83MB
2026-06-14T11:30:35,project-two-kafka,96.28%,1.022GiB / 14.99GiB,6.82%,1.27GB / 2.24GB
