elapsed_s,phase,readings_total
0,baseline,0
2,baseline,1
4,baseline,150
6,baseline,251
8,baseline,400
10,baseline,450
12,baseline,551
14,baseline,700
15,burst,700
16,burst,2701
17,burst,5701
18,burst,8201
19,burst,10201
20,burst,13201
21,burst,16201
22,burst,19201
23,burst,22201
24,burst,24701
25,recovery,34701
27,recovery,41701
29,recovery,47701
31,recovery,49933
33,recovery,49933
35,recovery,49933
37,recovery,49933
39,recovery,49933
41,recovery,49933
43,recovery,49933
45,recovery,49933
47,recovery,49933
49,recovery,49933
51,recovery,49933
53,recovery,49933
