timestamp,container,cpu_perc,mem_usage,mem_perc,net_io
2026-06-14T13:42:41,project-two-ingestion,1.57%,48.16MiB / 14.99GiB,0.31%,10.8kB / 25.2kB
2026-06-14T13:42:41,project-two-storage,60.13%,36.65MiB / 14.99GiB,0.24%,407kB / 37.1kB
2026-06-14T13:42:41,project-two-analytics,1.38%,48.26MiB / 14.99GiB,0.31%,46.3kB / 9.86kB
2026-06-14T13:42:41,project-two-mosquitto,0.65%,4.656MiB / 14.99GiB,0.03%,1.14GB / 1.55GB
2026-06-14T13:42:45,project-two-ingestion,5.57%,41.98MiB / 14.99GiB,0.27%,43.1kB / 141kB
2026-06-14T13:42:45,project-two-storage,4.54%,40.38MiB / 14.99GiB,0.26%,488kB / 134kB
2026-06-14T13:42:45,project-two-analytics,7.40%,41.66MiB / 14.99GiB,0.27%,132kB / 26.1kB
2026-06-14T13:42:45,project-two-mosquitto,0.49%,5.312MiB / 14.99GiB,0.03%,1.14GB / 1.55GB
2026-06-14T13:42:49,project-two-ingestion,1.51%,41.68MiB / 14.99GiB,0.27%,62.4kB / 211kB
2026-06-14T13:42:49,project-two-storage,2.43%,39.96MiB / 14.99GiB,0.26%,569kB / 230kB
2026-06-14T13:42:49,project-two-analytics,4.36%,42.82MiB / 14.99GiB,0.28%,217kB / 42.9kB
2026-06-14T13:42:49,project-two-mosquitto,0.51%,5.852MiB / 14.99GiB,0.04%,1.14GB / 1.55GB
2026-06-14T13:42:53,project-two-ingestion,0.68%,42.11MiB / 14.99GiB,0.27%,91.3kB / 324kB
2026-06-14T13:42:53,project-two-storage,3.05%,40.64MiB / 14.99GiB,0.26%,648kB / 327kB
2026-06-14T13:42:53,project-two-analytics,1.14%,41.89MiB / 14.99GiB,0.27%,302kB / 58.5kB
2026-06-14T13:42:53,project-two-mosquitto,0.44%,4.23MiB / 14.99GiB,0.03%,1.14GB / 1.55GB
2026-06-14T13:42:57,project-two-ingestion,0.00%,41.09MiB / 14.99GiB,0.27%,91.3kB / 324kB
2026-06-14T13:42:57,project-two-storage,32.59%,50.31MiB / 14.99GiB,0.33%,1.85MB / 1.15MB
2026-06-14T13:42:57,project-two-analytics,43.69%,47.39MiB / 14.99GiB,0.31%,1.54MB / 240kB
2026-06-14T13:42:57,project-two-mosquitto,0.07%,5.074MiB / 14.99GiB,0.03%,1.14GB / 1.55GB
2026-06-14T13:43:01,project-two-ingestion,39.95%,73.87MiB / 14.99GiB,0.48%,2.69MB / 10.9MB
2026-06-14T13:43:01,project-two-storage,31.39%,78.92MiB / 14.99GiB,0.51%,6.97MB / 5.75MB
2026-06-14T13:43:01,project-two-analytics,33.13%,63.23MiB / 14.99GiB,0.41%,9.67MB / 1.51MB
2026-06-14T13:43:01,project-two-mosquitto,19.78%,10.46MiB / 14.99GiB,0.07%,1.15GB / 1.57GB
2026-06-14T13:43:05,project-two-ingestion,37.04%,77.88MiB / 14.99GiB,0.51%,5.03MB / 20MB
2026-06-14T13:43:05,project-two-storage,34.98%,81.12MiB / 14.99GiB,0.53%,11.5MB / 11MB
2026-06-14T13:43:05,project-two-analytics,32.15%,79.64MiB / 14.99GiB,0.52%,18MB / 2.91MB
2026-06-14T13:43:05,project-two-mosquitto,25.78%,13.67MiB / 14.99GiB,0.09%,1.16GB / 1.58GB
2026-06-14T13:43:09,project-two-ingestion,0.02%,76.71MiB / 14.99GiB,0.50%,5.66MB / 22.5MB
2026-06-14T13:43:09,project-two-storage,14.73%,80.95MiB / 14.99GiB,0.53%,13.9MB / 13.7MB
2026-06-14T13:43:09,project-two-analytics,0.00%,80.59MiB / 14.99GiB,0.52%,20.3MB / 3.31MB
2026-06-14T13:43:09,project-two-mosquitto,2.59%,9.145MiB / 14.99GiB,0.06%,1.17GB / 1.59GB
2026-06-14T13:43:13,project-two-ingestion,0.00%,76.56MiB / 14.99GiB,0.50%,5.66MB / 22.5MB
2026-06-14T13:43:13,project-two-storage,2.34%,81.29MiB / 14.99GiB,0.53%,16.3MB / 18.5MB
2026-06-14T13:43:13,project-two-analytics,0.00%,80.05MiB / 14.99GiB,0.52%,20.3MB / 3.31MB
2026-06-14T13:43:13,project-two-mosquitto,0.14%,5.18MiB / 14.99GiB,0.03%,1.17GB / 1.59GB
2026-06-14T13:43:17,project-two-ingestion,0.00%,76.56MiB / 14.99GiB,0.50%,5.66MB / 22.5MB
2026-06-14T13:43:17,project-two-storage,0.27%,80.18MiB / 14.99GiB,0.52%,16.3MB / 18.5MB
2026-06-14T13:43:17,project-two-analytics,0.03%,80.05MiB / 14.99GiB,0.52%,20.3MB / 3.31MB
2026-06-14T13:43:17,project-two-mosquitto,0.05%,5.172MiB / 14.99GiB,0.03%,1.17GB / 1.59GB
2026-06-14T13:43:21,project-two-ingestion,0.00%,76.56MiB / 14.99GiB,0.50%,5.66MB / 22.5MB
2026-06-14T13:43:21,project-two-storage,0.25%,79.75MiB / 14.99GiB,0.52%,16.3MB / 18.5MB
2026-06-14T13:43:21,project-two-analytics,0.00%,79.98MiB / 14.99GiB,0.52%,20.3MB / 3.31MB
2026-06-14T13:43:21,project-two-mosquitto,0.03%,4.348MiB / 14.99GiB,0.03%,1.17GB / 1.59GB
2026-06-14T13:43:25,project-two-ingestion,0.00%,76.56MiB / 14.99GiB,0.50%,5.66MB / 22.5MB
2026-06-14T13:43:25,project-two-storage,0.31%,80.13MiB / 14.99GiB,0.52%,16.3MB / 18.5MB
2026-06-14T13:43:25,project-two-analytics,0.00%,79.98MiB / 14.99GiB,0.52%,20.3MB / 3.31MB
2026-06-14T13:43:25,project-two-mosquitto,3.56%,5.766MiB / 14.99GiB,0.04%,1.17GB / 1.59GB
2026-06-14T13:43:29,project-two-ingestion,0.00%,76.54MiB / 14.99GiB,0.50%,5.66MB / 22.5MB
2026-06-14T13:43:29,project-two-storage,0.27%,80.42MiB / 14.99GiB,0.52%,16.3MB / 18.5MB
2026-06-14T13:43:29,project-two-analytics,0.00%,79.98MiB / 14.99GiB,0.52%,20.3MB / 3.31MB
2026-06-14T13:43:29,project-two-mosquitto,0.05%,5.203MiB / 14.99GiB,0.03%,1.17GB / 1.59GB
2026-06-14T13:43:33,project-two-ingestion,0.00%,76.54MiB / 14.99GiB,0.50%,5.66MB / 22.5MB
2026-06-14T13:43:33,project-two-storage,0.33%,79.93MiB / 14.99GiB,0.52%,16.3MB / 18.5MB
2026-06-14T13:43:33,project-two-analytics,0.00%,79.98MiB / 14.99GiB,0.52%,20.3MB / 3.31MB
2026-06-14T13:43:33,project-two-mosquitto,0.06%,4.746MiB / 14.99GiB,0.03%,1.17GB / 1.59GB
2026-06-14T13:43:37,project-two-ingestion,0.00%,76.52MiB / 14.99GiB,0.50%,5.66MB / 22.5MB
2026-06-14T13:43:37,project-two-storage,0.39%,79.85MiB / 14.99GiB,0.52%,16.3MB / 18.5MB
2026-06-14T13:43:37,project-two-analytics,0.08%,79.93MiB / 14.99GiB,0.52%,20.3MB / 3.31MB
2026-06-14T13:43:37,project-two-mosquitto,0.05%,4.629MiB / 14.99GiB,0.03%,1.17GB / 1.59GB
2026-06-14T13:43:41,project-two-ingestion,0.00%,76.52MiB / 14.99GiB,0.50%,5.66MB / 22.5MB
2026-06-14T13:43:41,project-two-storage,0.40%,80.19MiB / 14.99GiB,0.52%,16.3MB / 18.5MB
2026-06-14T13:43:41,project-two-analytics,0.00%,79.93MiB / 14.99GiB,0.52%,20.3MB / 3.31MB
2026-06-14T13:43:41,project-two-mosquitto,0.07%,4.402MiB / 14.99GiB,0.03%,1.17GB / 1.59GB
2026-06-14T13:43:45,project-two-ingestion,0.00%,76.52MiB / 14.99GiB,0.50%,5.66MB / 22.5MB
2026-06-14T13:43:45,project-two-storage,0.35%,80.2MiB / 14.99GiB,0.52%,16.3MB / 18.5MB
2026-06-14T13:43:45,project-two-analytics,0.00%,79.93MiB / 14.99GiB,0.52%,20.3MB / 3.31MB
2026-06-14T13:43:45,project-two-mosquitto,3.27%,4.445MiB / 14.99GiB,0.03%,1.17GB / 1.59GB
2026-06-14T13:43:49,project-two-ingestion,0.00%,76.52MiB / 14.99GiB,0.50%,5.66MB / 22.5MB
2026-06-14T13:43:49,project-two-storage,0.36%,77.31MiB / 14.99GiB,0.50%,16.3MB / 18.5MB
2026-06-14T13:43:49,project-two-analytics,0.00%,79.92MiB / 14.99GiB,0.52%,20.3MB / 3.31MB
2026-06-14T13:43:49,project-two-mosquitto,0.08%,4.133MiB / 14.99GiB,0.03%,1.17GB / 1.59GB
2026-06-14T13:43:53,project-two-ingestion,0.00%,76.52MiB / 14.99GiB,0.50%,5.66MB / 22.5MB
2026-06-14T13:43:53,project-two-storage,0.31%,77.66MiB / 14.99GiB,0.51%,16.3MB / 18.5MB
2026-06-14T13:43:53,project-two-analytics,0.00%,79.92MiB / 14.99GiB,0.52%,20.3MB / 3.31MB
2026-06-14T13:43:53,project-two-mosquitto,0.06%,3.918MiB / 14.99GiB,0.03%,1.17GB / 1.59GB
2026-06-14T13:43:57,project-two-ingestion,0.00%,76.52MiB / 14.99GiB,0.50%,5.66MB / 22.5MB
2026-06-14T13:43:57,project-two-storage,0.59%,77.4MiB / 14.99GiB,0.50%,16.3MB / 18.5MB
2026-06-14T13:43:57,project-two-analytics,0.00%,79.92MiB / 14.99GiB,0.52%,20.3MB / 3.31MB
2026-06-14T13:43:57,project-two-mosquitto,0.06%,4.211MiB / 14.99GiB,0.03%,1.17GB / 1.59GB
2026-06-14T13:44:01,project-two-ingestion,0.00%,76.52MiB / 14.99GiB,0.50%,5.66MB / 22.5MB
2026-06-14T13:44:01,project-two-storage,0.26%,77.14MiB / 14.99GiB,0.50%,16.3MB / 18.5MB
2026-06-14T13:44:01,project-two-analytics,0.00%,79.92MiB / 14.99GiB,0.52%,20.3MB / 3.31MB
2026-06-14T13:44:01,project-two-mosquitto,0.05%,3.969MiB / 14.99GiB,0.03%,1.17GB / 1.59GB
2026-06-14T13:44:05,project-two-ingestion,0.02%,76.52MiB / 14.99GiB,0.50%,5.66MB / 22.5MB
2026-06-14T13:44:05,project-two-storage,0.28%,76.82MiB / 14.99GiB,0.50%,16.3MB / 18.5MB
