elapsed_s,phase,readings_total
0,baseline,0
2,baseline,50
4,baseline,150
6,baseline,250
8,baseline,350
10,baseline,500
12,baseline,600
14,baseline,700
15,burst,700
16,burst,2701
17,burst,5201
18,burst,7701
19,burst,10701
20,burst,14201
21,burst,18201
22,burst,21701
23,burst,24201
24,burst,26701
25,recovery,28701
27,recovery,33701
29,recovery,40466
31,recovery,40466
33,recovery,40466
35,recovery,40466
37,recovery,40466
39,recovery,40466
41,recovery,40466
43,recovery,40466
45,recovery,40466
47,recovery,40466
49,recovery,40466
51,recovery,40466
53,recovery,40466
